portfolio,trade id,product,side,created at,size,size unit,price,fee,total,price/fee/total unit
default,1842759,GRT-EUR,BUY,2021-03-12T20:12:59.278Z,58.51,GRT,1.44,0.421272,-84.675672,EUR
default,1843305,GRT-EUR,BUY,2021-03-12T20:32:21.517Z,20,GRT,1.4,0.14,-28.14,EUR
default,1844594,GRT-EUR,SELL,2021-03-12T22:48:37.120Z,20,GRT,1.46,0.146,29.054,EUR
default,1846539,GRT-EUR,SELL,2021-03-13T06:47:15.140Z,37.87,GRT,1.5,0.284025,56.520975,EUR
default,1846540,GRT-EUR,SELL,2021-03-13T06:47:29.601Z,20.64,GRT,1.5,0.1548,30.8052,EUR
default,1848978,GRT-EUR,SELL,2021-03-13T13:48:00.853Z,75.12,GRT,1.56,0.585936,116.601264,EUR
default,1851875,GRT-EUR,BUY,2021-03-13T23:20:15.984Z,29.48,GRT,1.47,0.216678,-43.552278,EUR
default,1851876,GRT-EUR,BUY,2021-03-13T23:20:15.999Z,0.52,GRT,1.47,0.003822,-0.768222,EUR
default,1853611,GRT-EUR,BUY,2021-03-14T11:32:13.636Z,286.08,GRT,1.4456,2.06778624,-415.6250342,EUR
default,1858282,GRT-EUR,SELL,2021-03-15T02:23:26.854Z,286.08,GRT,1.5,2.1456,426.9744,EUR
default,1858775,GRT-EUR,SELL,2021-03-15T03:37:00.488Z,30,GRT,1.55,0.2325,46.2675,EUR
default,1859809,GRT-EUR,BUY,2021-03-15T06:18:18.419Z,314.41,GRT,1.4902,2.34266891,-470.8764509,EUR
default,1864270,GRT-EUR,BUY,2021-03-15T12:15:19.936Z,67.82,GRT,1.467,0.4974597,-99.9893997,EUR
default,1866419,GRT-EUR,BUY,2021-03-16T00:28:31.396Z,36.44,GRT,1.43,0.260546,-52.369746,EUR
default,1870655,GRT-EUR,SELL,2021-03-16T15:50:44.608Z,36.44,GRT,1.47,0.267834,53.298966,EUR
default,1878311,GRT-EUR,SELL,2021-03-18T09:51:54.892Z,67.82,GRT,1.49,0.505259,100.546541,EUR
default,1883292,GRT-EUR,SELL,2021-03-19T07:59:03.422Z,35,GRT,1.4289,0.2500575,49.7614425,EUR
default,1887960,GRT-EUR,SELL,2021-03-20T06:47:46.800Z,58.45,GRT,1.55,0.4529875,90.1445125,EUR
default,1887961,GRT-EUR,SELL,2021-03-20T06:47:46.807Z,200,GRT,1.55,1.55,308.45,EUR
default,1887962,GRT-EUR,SELL,2021-03-20T06:47:46.815Z,20.96,GRT,1.55,0.16244,32.32556,EUR
default,1891000,GRT-EUR,BUY,2021-03-20T19:37:28.035Z,15,GRT,1.49,0.11175,-22.46175,EUR
default,1891689,GRT-EUR,BUY,2021-03-20T23:45:12.535Z,30,GRT,1.45,0.2175,-43.7175,EUR
default,1893257,GRT-EUR,BUY,2021-03-21T05:13:51.391Z,50,GRT,1.4,0.35,-70.35,EUR
default,1896599,GRT-EUR,BUY,2021-03-22T00:52:06.936Z,40,GRT,1.4,0.28,-56.28,EUR
default,1899540,GRT-EUR,BUY,2021-03-22T20:42:03.757Z,50,GRT,1.35,0.3375,-67.8375,EUR
default,1901110,GRT-EUR,BUY,2021-03-22T21:26:47.746Z,35,GRT,1.3046,0.228305,-45.889305,EUR
default,1903912,GRT-EUR,BUY,2021-03-23T06:22:35.471Z,60,GRT,1.26,0.378,-75.978,EUR
default,1905286,GRT-EUR,SELL,2021-03-23T10:49:51.416Z,60,GRT,1.32,0.396,78.804,EUR
default,1907706,GRT-EUR,BUY,2021-03-24T00:14:06.043Z,30,GRT,1.25,0.1875,-37.6875,EUR
default,1909026,GRT-EUR,SELL,2021-03-24T07:04:24.482Z,30,GRT,1.32,0.198,39.402,EUR
default,1911240,GRT-EUR,BUY,2021-03-24T19:59:08.246Z,62,GRT,1.25,0.3875,-77.8875,EUR
default,1912015,GRT-EUR,BUY,2021-03-24T22:17:34.635Z,25,GRT,1.2,0.15,-30.15,EUR
default,1912321,GRT-EUR,BUY,2021-03-24T22:25:21.058Z,36.6,GRT,1.15,0.21045,-42.30045,EUR
default,1923019,GRT-EUR,SELL,2021-03-26T06:29:46.887Z,36.6,GRT,1.2,0.2196,43.7004,EUR
default,1924216,GRT-EUR,SELL,2021-03-26T12:14:02.553Z,25,GRT,1.25,0.15625,31.09375,EUR
default,1925443,GRT-EUR,SELL,2021-03-26T17:47:05.451Z,62,GRT,1.32,0.4092,81.4308,EUR
default,1928178,GRT-EUR,BUY,2021-03-27T12:19:19.280Z,30,GRT,1.24,0.186,-37.386,EUR
default,1930188,GRT-EUR,SELL,2021-03-28T04:57:50.925Z,30,GRT,1.3,0.195,38.805,EUR
default,1931567,GRT-EUR,SELL,2021-03-28T10:53:37.537Z,30,GRT,1.38,0.207,41.193,EUR
default,1932529,GRT-EUR,SELL,2021-03-28T14:01:32.619Z,30,GRT,1.4,0.21,41.79,EUR
default,1933250,GRT-EUR,SELL,2021-03-28T14:47:09.923Z,20,GRT,1.45,0.145,28.855,EUR
default,1933444,GRT-EUR,SELL,2021-03-28T14:50:57.651Z,50,GRT,1.46,0.365,72.635,EUR
default,1936849,GRT-EUR,SELL,2021-03-28T22:34:19.730Z,30,GRT,1.5,0.225,44.775,EUR
